,life_stage,case,session,plankton,x_(mm),y_(mm),z_(mm),ds_(mm),dv_(mm/s),angle_(deg)
48,naupliar,withFood,trj_naupwF5_1,1,-11.2729,18.5412,19.4537,0.3017352647603519,9.052057942810558,36.92590349497689
49,naupliar,withFood,trj_naupwF5_1,1,-11.2672,18.4719,19.3724,0.1069797644416931,3.2093929332507938,123.18031375320776
50,naupliar,withFood,trj_naupwF5_1,1,-11.1827,18.5121,19.4195,0.1047602023671201,3.142806071013605,168.77571960855343
51,naupliar,withFood,trj_naupwF5_1,1,-11.3852,18.4011,19.2417,0.2914448318292826,8.743344954878479,10.039265627337445
52,naupliar,withFood,trj_naupwF5_1,1,-11.4588,18.3775,19.1691,0.1060409354919138,3.181228064757414,154.1377374293742
53,naupliar,withFood,trj_naupwF5_1,1,-11.2827,18.3665,19.2484,0.1934443072307893,5.8033292169236805,165.7695164888767
54,naupliar,withFood,trj_naupwF5_1,1,-11.4784,18.3753,19.0931,0.2499880397139037,7.499641191417112,10.763960539200252
55,naupliar,withFood,trj_naupwF5_1,1,-11.5537,18.3635,19.0436,0.0908822314866863,2.7264669446005905,142.46561587838733
56,naupliar,withFood,trj_naupwF5_1,1,-11.4368,18.3427,19.0436,0.1187360518124118,3.562081554372355,146.95655210167325
57,naupliar,withFood,trj_naupwF5_1,1,-11.6098,18.4739,18.9659,0.2306073069093864,6.918219207281594,52.63729340418452
58,naupliar,withFood,trj_naupwF5_1,1,-11.6336,18.4847,18.8864,0.0836859008435737,2.5105770253072115,72.66721318789507
59,naupliar,withFood,trj_naupwF5_1,1,-11.6348,18.5846,18.8685,0.1014980787995493,3.0449423639864803,1.2074182697257331e-06
60,naupliar,withFood,trj_naupwF5_1,1,-11.636,18.6845,18.8506,0.1014980787995534,3.044942363986604,21.35231280165169
61,naupliar,withFood,trj_naupwF5_1,1,-11.6384,18.718,18.8302,0.0392959285422797,1.1788778562683928,161.65447978809175
62,naupliar,withFood,trj_naupwF5_1,1,-11.6467,18.6528,18.8492,0.0684173223679501,2.0525196710385054,169.68855860216237
63,naupliar,withFood,trj_naupwF5_1,1,-11.6516,18.8822,18.7535,0.248609854993725,7.458295649811752,7.342377649421217
64,naupliar,withFood,trj_naupwF5_1,1,-11.6432,18.9596,18.7164,0.0862422750163716,2.5872682504911504,152.2569308685517
65,naupliar,withFood,trj_naupwF5_1,1,-11.611,18.8669,18.7363,0.1001306146989991,3.0039184409699757,157.19130860758307
66,naupliar,withFood,trj_naupwF5_1,1,-11.6128,19.0814,18.6319,0.2385641423181584,7.156924269544753,35.77262533346945
67,naupliar,withFood,trj_naupwF5_1,1,-11.6593,19.1356,18.5952,0.0802918426740874,2.4087552802226235,178.07221734916575
68,naupliar,withFood,trj_naupwF5_1,1,-11.6121,19.081,18.6354,0.0826138002999514,2.4784140089985445,151.5037583089972
69,naupliar,withFood,trj_naupwF5_1,1,-11.6416,19.2936,18.5079,0.2496502753853902,7.489508261561706,34.73655909832828
70,naupliar,withFood,trj_naupwF5_1,1,-11.628,19.3179,18.4714,0.0459096939654364,1.3772908189630937,106.34717923026471
71,naupliar,withFood,trj_naupwF5_1,1,-11.5833,19.2581,18.4747,0.0747329913759671,2.2419897412790144,128.05659616903682
72,naupliar,withFood,trj_naupwF5_1,1,-11.5202,19.5053,18.4041,0.2647145821446173,7.94143746433852,21.012410836161276
73,naupliar,withFood,trj_naupwF5_1,1,-11.5202,19.5239,18.3925,0.0219207664099624,0.6576229922988733,150.91921856724193
74,naupliar,withFood,trj_naupwF5_1,1,-11.5285,19.4461,18.3972,0.0783825235623348,2.3514757068700467,151.82252189525548
75,naupliar,withFood,trj_naupwF5_1,1,-11.371,19.686,18.3376,0.2931047935466074,8.793143806398223,20.57479703557689
76,naupliar,withFood,trj_naupwF5_1,1,-11.3463,19.7056,18.3365,0.0315509112388226,0.94652733716468,165.25407425061326
77,naupliar,withFood,trj_naupwF5_1,1,-11.3861,19.6566,18.3476,0.0640956316764258,1.922868950292774,161.55264045986848
78,naupliar,withFood,trj_naupwF5_1,1,-11.1523,19.8059,18.315,0.2793128890688723,8.37938667206617,81.15944591602276
79,naupliar,withFood,trj_naupwF5_1,1,-11.1599,19.821,18.299,0.0232759532565278,0.6982785976958348,112.51584439563791
80,naupliar,withFood,trj_naupwF5_1,1,-11.1022,19.8058,18.2908,0.060229311800817,1.806879354024512,35.65169713543354
81,naupliar,withFood,trj_naupwF5_1,1,-10.8425,19.906,18.2626,0.2797845063615922,8.393535190847766,84.95625675763489
82,naupliar,withFood,trj_naupwF5_1,1,-10.8422,19.9125,18.2757,0.0146270297736782,0.4388108932103489,124.29955608693308
83,naupliar,withFood,trj_naupwF5_1,1,-10.8642,19.906,18.2629,0.0262695641379924,0.7880869241397738,126.83329097357836
84,naupliar,withFood,trj_naupwF5_1,1,-10.612,20.0281,18.1426,0.3049349766753549,9.148049300260649,59.14394930657346
85,naupliar,withFood,trj_naupwF5_1,1,-10.592,20.0388,18.159,0.027990176848314,0.83970530544942,51.08780729087691
86,naupliar,withFood,trj_naupwF5_1,1,-10.5475,20.0228,18.1665,0.0478800584794969,1.4364017543849077,66.66026930561756
87,naupliar,withFood,trj_naupwF5_1,1,-10.3683,20.1456,18.0233,0.2601897768937134,7.805693306811403,30.95608627327097
88,naupliar,withFood,trj_naupwF5_1,1,-10.3535,20.145,18.0143,0.0173320512346342,0.5199615370390276,113.26055738970696
89,naupliar,withFood,trj_naupwF5_1,1,-10.3529,20.1407,18.0229,0.0096337946833025,0.2890138404990754,130.8378926295028
90,naupliar,withFood,trj_naupwF5_1,1,-10.1789,20.2921,17.8923,0.2650553149816106,7.95165944944832,63.41117026938184
91,naupliar,withFood,trj_naupwF5_1,1,-10.1242,20.2783,17.8977,0.0566717742796187,1.7001532283885623,109.38631059230684
92,naupliar,withFood,trj_naupwF5_1,1,-10.1433,20.2554,17.9141,0.0340320437235265,1.0209613117057954,166.6181102471375
93,naupliar,withFood,trj_naupwF5_1,1,-9.9934,20.4217,17.712,0.3016125163185385,9.048375489556156,84.22667164100584
94,naupliar,withFood,trj_naupwF5_1,1,-9.9797,20.4403,17.7328,0.0310852054842818,0.932556164528456,155.23373797853867
95,naupliar,withFood,trj_naupwF5_1,1,-9.9806,20.4153,17.7054,0.0371021562715715,1.1130646881471458,84.43440233887293
96,naupliar,withFood,trj_naupwF5_1,1,-9.8161,20.5447,17.5475,0.2621774589853229,7.865323769559687,48.02554887356645
97,naupliar,withFood,trj_naupwF5_1,1,-9.822,20.5646,17.5119,0.0412089796039635,1.2362693881189075,131.0755801572694
98,naupliar,withFood,trj_naupwF5_1,1,-9.7819,20.5323,17.5283,0.0540394300488069,1.6211829014642078,83.32835325322354
99,naupliar,withFood,trj_naupwF5_1,1,-9.5943,20.6326,17.3689,0.2658236445465312,7.974709336395936,154.38173462524014
100,naupliar,withFood,trj_naupwF5_1,1,-9.6086,20.6323,17.3891,0.0247511615889017,0.7425348476670521,140.6814064176597
101,naupliar,withFood,trj_naupwF5_1,1,-9.5779,20.609,17.3695,0.0432381775749156,1.297145327247471,44.58082672447589
102,naupliar,withFood,trj_naupwF5_1,1,-9.3666,20.6644,17.2038,0.2741775701985829,8.225327105957486,93.51746366936804
103,naupliar,withFood,trj_naupwF5_1,1,-9.4003,20.6549,17.1631,0.0536882668746165,1.6106480062384958,168.07348493135825
104,naupliar,withFood,trj_naupwF5_1,1,-9.3722,20.6604,17.2146,0.0589246128540533,1.7677383856216002,96.83607224186134
105,naupliar,withFood,trj_naupwF5_1,1,-9.1825,20.7954,17.0585,0.280318212037679,8.409546361130369,121.29406571229696
106,naupliar,withFood,trj_naupwF5_1,1,-9.1734,20.7619,17.0775,0.0395734759656016,1.187204278968048,99.21009533670428
107,naupliar,withFood,trj_naupwF5_1,1,-9.1674,20.7571,17.0597,0.0193876249190053,0.5816287475701616,63.378970430919246
108,naupliar,withFood,trj_naupwF5_1,1,-8.9802,20.9302,16.9383,0.2823922980536102,8.471768941608307,135.98599150904656
109,naupliar,withFood,trj_naupwF5_1,1,-9.0013,20.9257,16.9357,0.0217306235529501,0.6519187065885038,146.11148317694247
110,naupliar,withFood,trj_naupwF5_1,1,-8.9255,20.9344,16.8975,0.0853262562169473,2.559787686508421,32.830826409215504
111,naupliar,withFood,trj_naupwF5_1,1,-8.7563,21.0864,16.8114,0.243199198189469,7.295975945684071,129.81444399815646
112,naupliar,withFood,trj_naupwF5_1,1,-8.775,21.0617,16.7947,0.035194743925765,1.0558423177729517,137.50394197172324
113,naupliar,withFood,trj_naupwF5_1,1,-8.7393,21.0785,16.7914,0.0395931812311162,1.1877954369334869,13.59836870428961
114,naupliar,withFood,trj_naupwF5_1,1,-8.5098,21.1995,16.7064,0.2730132780653729,8.190398341961187,132.0355111004886
115,naupliar,withFood,trj_naupwF5_1,1,-8.5507,21.1906,16.6847,0.0471477464997005,1.4144323949910158,118.42972015038129
116,naupliar,withFood,trj_naupwF5_1,1,-8.548,21.1833,16.7204,0.0365386097163009,1.0961582914890289,121.15272983877593
117,naupliar,withFood,trj_naupwF5_1,1,-8.3816,21.3575,16.6011,0.268825389425927,8.064761682777812,134.66658009078512
118,naupliar,withFood,trj_naupwF5_1,1,-8.3772,21.2945,16.6194,0.0657514258400553,1.9725427752016615,117.8907573623248
119,naupliar,withFood,trj_naupwF5_1,1,-8.3049,21.3368,16.6047,0.0850451056792808,2.551353170378425,14.234767836826377
120,naupliar,withFood,trj_naupwF5_1,1,-8.1291,21.5084,16.5438,0.2531027656901456,7.593082970704368,147.24828659886643
121,naupliar,withFood,trj_naupwF5_1,1,-8.1698,21.4664,16.5239,0.0617778277377912,1.8533348321337384,149.07028512593683
122,naupliar,withFood,trj_naupwF5_1,1,-8.1457,21.5016,16.5159,0.0434033408852366,1.302100226557099,11.191050812692326
123,naupliar,withFood,trj_naupwF5_1,1,-7.9752,21.6714,16.4532,0.2486635880059631,7.459907640178893,135.40273635918766
124,naupliar,withFood,trj_naupwF5_1,1,-7.9739,21.618,16.4728,0.0568982425036134,1.7069472751084045,120.57577723251694
125,naupliar,withFood,trj_naupwF5_1,1,-7.9341,21.6369,16.4436,0.0528572606176302,1.5857178185289085,38.24294747212032
126,naupliar,withFood,trj_naupwF5_1,1,-7.8323,21.8545,16.3629,0.2534274846973003,7.602824540919011,137.17356213264603
127,naupliar,withFood,trj_naupwF5_1,1,-7.8365,21.8477,16.3774,0.0165568716851969,0.4967061505559081,99.51780655252892
128,naupliar,withFood,trj_naupwF5_1,1,-7.7957,21.818,16.3655,0.0518492044297683,1.5554761328930506,85.85981513272048
129,naupliar,withFood,trj_naupwF5_1,1,-7.6253,22.0382,16.3109,0.2837346647838422,8.512039943515267,45.72518809558377
130,naupliar,withFood,trj_naupwF5_1,1,-7.604,22.042,16.3136,0.0218041280495236,0.6541238414857083,0.2585450865283483
131,naupliar,withFood,trj_naupwF5_1,1,-7.5827,22.0459,16.3163,0.0218217781127014,0.654653343381042,28.69424729174996
132,naupliar,withFood,trj_naupwF5_1,1,-7.3239,22.1712,16.2274,0.3009663436333032,9.0289903089991,146.89686708320423
133,naupliar,withFood,trj_naupwF5_1,1,-7.3623,22.1415,16.2155,0.0499825969713452,1.4994779091403574,156.01267293911735
134,naupliar,withFood,trj_naupwF5_1,1,-7.3247,22.1552,16.2137,0.0400585821017172,1.2017574630515175,26.90603078073319
135,naupliar,withFood,trj_naupwF5_1,1,-7.1718,22.2671,16.1274,0.2082011287193209,6.246033861579628,121.9068499789706
136,naupliar,withFood,trj_naupwF5_1,1,-7.1657,22.2289,16.2376,0.1167925083213806,3.5037752496414183,139.60785150763377
137,naupliar,withFood,trj_naupwF5_1,1,-7.0806,22.2893,16.1366,0.1452279931693614,4.356839795080843,29.920169533708663
138,naupliar,withFood,trj_naupwF5_1,1,-7.0606,22.395,15.9853,0.1856453069700389,5.56935920910117,153.87972397730917
139,naupliar,withFood,trj_naupwF5_1,1,-7.0325,22.3389,16.046,0.0873001145474618,2.6190034364238546,163.09780821753287
140,naupliar,withFood,trj_naupwF5_1,1,-7.0385,22.3926,15.9693,0.0938220656349034,2.814661969047102,18.326953517367464
141,naupliar,withFood,trj_naupwF5_1,1,-7.0235,22.5358,15.8547,0.1840228246712871,5.520684740138615,130.41000869501477
142,naupliar,withFood,trj_naupwF5_1,1,-6.9482,22.4839,15.9121,0.1079743488056315,3.2392304641689456,162.0314465532597
143,naupliar,withFood,trj_naupwF5_1,1,-7.0086,22.5705,15.8271,0.1355460069496712,4.066380208490137,3.517178166056943
144,naupliar,withFood,trj_naupwF5_1,1,-7.0831,22.6723,15.7372,0.154904809479887,4.647144284396612,164.9850625962919
145,naupliar,withFood,trj_naupwF5_1,1,-6.9907,22.5924,15.7952,0.1352248867627541,4.056746602882623,154.3598164684896
146,naupliar,withFood,trj_naupwF5_1,1,-7.063,22.7014,15.6504,0.1951290086071251,5.853870258213755,4.031414161458342
147,naupliar,withFood,trj_naupwF5_1,1,-7.113,22.7647,15.5526,0.1267743270540221,3.803229811620664,165.93259193185705
148,naupliar,withFood,trj_naupwF5_1,1,-7.0635,22.7212,15.605,0.0841918048268369,2.5257541448051075,154.68326524383951
149,naupliar,withFood,trj_naupwF5_1,1,-7.1052,22.8221,15.4363,0.2009462365907862,6.028387097723587,26.61937369943391
150,naupliar,withFood,trj_naupwF5_1,1,-7.169,22.8831,15.3727,0.1087952204832539,3.263856614497619,165.31594384392804
151,naupliar,withFood,trj_naupwF5_1,1,-7.0819,22.8377,15.4297,0.1135630661791046,3.40689198537314,158.92774715294902
